GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Home_Seed,Away_Seed,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2252394,03-14-2023,2023,A&M-Corpus Christi,Southeast Mo. State,TRUE,FALSE,16,16,0.14,1.5,-1.5,-0.25,1.4,0.3,8.3,2.5,-2.3,-2.7,2.25,4.9,-2.7,3,5.4,2,15.8,-0.9,3.7,0.7
2252395,03-14-2023,2023,Mississippi State,Pittsburgh,FALSE,TRUE,11,11,-0.16,0.1,-0.7,-1.09,-2.6,-2.6,-11.2,2.83,-1.1,-1.1,1.74,2.9,-8.7,-9,-0.7,4,-4.9,-1.6,-9.4,1.3
2252396,03-15-2023,2023,Texas Southern,FDU,FALSE,TRUE,16,16,-0.47,-2.9,1.3,3.13,-2.5,-4.4,-8.8,0.03,0,1.5,3.16,1.6,-2.3,-8,-5.9,-1,-16.8,-1.9,-6.8,-4.7
2252397,03-15-2023,2023,Arizona State,Nevada,TRUE,FALSE,11,11,-0.18,-0.1,1.7,-0.38,-2.4,-2.6,-10.3,3.55,0.7,4.9,3.17,-1.7,0.2,-2,-1.7,1,-2.8,1.4,-2.9,0.1
2252411,03-16-2023,2023,Maryland,West Virginia,TRUE,FALSE,8,9,0.07,-1.6,0.6,1.18,-0.4,-2.3,-1.1,-1.49,-2.6,0.9,-0.31,-1.1,-7.4,-6,1.1,-1,7,-1.7,-2.2,-0.3
2252407,03-16-2023,2023,Virginia,Furman,FALSE,TRUE,4,13,0.33,-1,1.1,-1.34,-2.8,-3.2,-3.8,-1.48,-2.5,-1.4,-2.82,-1.3,-10.7,-13,-2.4,0,-2,1.1,0.6,1.7
2252398,03-16-2023,2023,Missouri,Utah State,TRUE,FALSE,7,10,0.06,-0.7,-0.6,-5.57,-0.7,2.3,-0.5,0.29,1.2,5.9,-5.28,-11.2,4.5,1,-3.8,5,-2.9,0.3,-2.7,6.9
2252404,03-16-2023,2023,Kansas,Howard,TRUE,FALSE,1,16,0.42,1.5,0.8,2,1,-3,0.7,-1.82,-0.9,1.5,0.17,-1.3,-4.5,0,4.8,2,14.9,-3.1,-2.7,2.9
2252410,03-16-2023,2023,Alabama,A&M-Corpus Christi,TRUE,FALSE,1,16,-0.12,-0.3,3.4,6.4,-0.9,-7.7,-6.7,0.94,-0.3,3.8,7.34,3.6,-4.9,2,6.6,-2,15.2,-5.2,-2.9,-4.4
2252406,03-16-2023,2023,San Diego State,Charleston,TRUE,FALSE,5,12,-0.02,-0.8,0.8,-1.45,0.2,-2.2,-2.2,-2.57,-0.6,-1.8,-4,-2.2,-3.7,-9,-5.2,-1,-6.5,-2.2,1.7,-0.5
2252399,03-16-2023,2023,Arizona,Princeton,FALSE,TRUE,2,15,0.28,5.3,-0.3,0.3,3.9,-1.7,-0.4,0.01,0.9,0.2,0.31,0.1,2.6,6,3.7,1,8.1,0.1,3.6,0.4
2252405,03-16-2023,2023,Arkansas,Illinois,TRUE,FALSE,8,9,0.05,0.4,-0.5,-1.76,1.7,0.8,1.9,-0.73,2.4,-0.8,-2.49,-1.7,0.7,0,-1.1,2,0.5,-2.3,0.5,1.6
2252413,03-16-2023,2023,Iowa,Auburn,FALSE,TRUE,8,9,0.5,2.3,-1.7,-0.04,1.4,6.7,4.2,0.41,-4.5,-0.9,0.37,1.3,7,7,0.3,-1,-4.2,7.8,2.5,2.2
2252408,03-16-2023,2023,Duke,Oral Roberts,TRUE,FALSE,5,12,-0.34,-0.1,-0.9,-1.19,-2.2,-1,-0.8,3.06,2.4,-6,1.87,7.9,-6.6,-11,-4.7,-1,-10.7,-4.2,-3,-4.4
2252403,03-16-2023,2023,Texas,Colgate,TRUE,FALSE,2,15,-0.38,-2,0.7,-1.24,-3.8,-3.1,8.7,1.66,4.9,2.9,0.42,-2.5,-1.5,0,1.3,1,2,-3.5,-5.6,2
2252400,03-16-2023,2023,Northwestern,Boise State,TRUE,FALSE,7,10,0.31,1.5,1,-2.47,-4.6,-0.1,2.4,1.26,-0.2,2.9,-1.21,-4.1,-1.8,-4,-2.4,3,-5.9,2.7,-4.1,3.7
2252409,03-16-2023,2023,Tennessee,Louisiana,TRUE,FALSE,4,13,0.21,2.3,0.6,0.09,-4.9,-6.9,2.6,1.8,-0.4,1.5,1.89,0.4,-11.6,-7,5,1,-7.1,-7.1,-4.7,2.3
2252412,03-16-2023,2023,Houston,Northern Ky.,TRUE,FALSE,1,16,0.29,1.3,2.4,4.94,3.2,-7.3,3.7,1.55,1.4,-2,6.49,8.5,-6,7,13.2,-2,26.3,-8.3,-0.2,-0.7
2252401,03-16-2023,2023,UCLA,UNC Asheville,TRUE,FALSE,2,15,0.55,1.8,-0.2,-2.37,-1.5,-1.6,3.7,2.87,0,-1.8,0.49,2.2,-8.4,0,8.2,2,6.7,1.4,-3.9,7
2252402,03-16-2023,2023,Texas A&M,Penn State,FALSE,TRUE,7,10,-0.51,-1.2,0.2,-2.06,-3.1,-2.3,2,6.29,2.7,-2.8,4.23,7.1,-1.7,1,2.3,2,9.2,0.3,-6.1,2.1
2252416,03-17-2023,2023,Michigan State,USC,TRUE,FALSE,7,10,0.25,1.1,-2.1,0.77,-0.3,3.1,1.4,-0.36,-0.8,-3.2,0.41,3.5,0.5,-2,-2,-2,-4.9,-1,4.8,-1
2252421,03-17-2023,2023,Xavier,Kennesaw State,TRUE,FALSE,3,14,0.38,4.8,0.5,1.83,3.1,1.3,4.9,0.64,-2,-1.6,2.47,4.1,5.1,6,0.9,-2,-1.3,2.7,2.5,-2.6
2252427,03-17-2023,2023,Baylor,UC Santa Barb.,TRUE,FALSE,3,14,-0.08,0.1,-0.1,-1.36,-4.3,1,1.7,3.53,1.3,1.7,2.17,0.4,4.4,5,0.9,0,-9.5,-1.9,1.8,0.5
2252424,03-17-2023,2023,State Mary's (Cal.),VCU,TRUE,FALSE,5,12,0.21,-0.5,-1.1,0.8,-0.8,0.2,-0.2,1.34,0.1,-4.5,2.14,6.6,-2.8,0,2.6,-2,0,1.2,1.7,-1.2
2252417,03-17-2023,2023,Marquette,Vermont,TRUE,FALSE,2,15,0.16,3.6,0.1,-1.82,1.2,-0.2,2.1,2.34,1.4,3,0.51,-2.5,3.4,7,3.4,3,13,-1.1,-0.5,3
2252420,03-17-2023,2023,Iowa State,Pittsburgh,FALSE,TRUE,6,11,-0.2,-0.3,-1.2,-3.88,-0.4,0,-8.9,1.41,2.9,-4.1,-2.47,1.7,-7.1,-8,-0.4,4,-9.1,1,-2.9,3.4
