GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Home_Seed,Away_Seed,Home Win %,Away Win %,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
2427528,03-19-2024,2024,Howard,Wagner,FALSE,TRUE,16,16,#N/A,#N/A,-0.39,1.1,0.7,-0.32,5.9,2.8,3.9,-0.26,3.7,-2.6,-0.6,2.1,12.3,11.6,-0.7,0.1,1.3,4.1,5.2,-4.6
2427529,03-19-2024,2024,Virginia,Colorado State,FALSE,TRUE,10,10,#N/A,#N/A,0.04,-3.2,1.9,-1.12,-5.4,-3,-11.7,1.06,-3.6,1.6,-0.1,-1.7,-8.8,-12.8,-3.9,0.6,-0.9,-2.7,2.2,2.2
2427530,03-20-2024,2024,Montana State,Grambling,FALSE,TRUE,16,16,#N/A,#N/A,0.39,3.3,-0.7,1.26,2.6,3.2,2.7,-2.83,2.5,1.9,-1.6,-3.4,5.1,7.5,2.5,0.8,-8.8,-0.5,2.8,2.5
2427531,03-20-2024,2024,Boise State,Colorado,FALSE,TRUE,10,10,#N/A,#N/A,-0.13,-3.4,0.3,-1.63,-4.1,0.2,-4.3,1.26,1.8,-0.3,-0.4,-0.1,-3.7,-3.5,0.2,-0.1,-1.8,-0.7,-4.9,2.3
2427537,03-21-2024,2024,Mississippi State,Michigan State,FALSE,TRUE,8,9,,100.00%,-0.58,-2.2,-0.8,1.46,-0.6,0.4,-3.4,2.26,0.2,-1.3,3.8,5.1,3.2,1.7,-1.5,0.9,4.2,-3.4,-3.4,-3.1
2427532,03-21-2024,2024,BYU,Duquesne,FALSE,TRUE,6,11,,100.00%,0.6,5.2,-1.3,3.1,2.5,0.7,2,1.37,0.6,-0.7,4.4,5.2,3.9,11,7.2,-1.7,1.1,0.1,0.8,-1
2427547,03-21-2024,2024,Creighton,Akron,TRUE,FALSE,3,14,,100.00%,0.47,4,1.2,3.22,3,-0.7,5.3,-2.1,-5.3,1.3,1.1,-0.1,3.8,6.5,2.6,-1.6,1.3,2.5,3.3,-2.8
2427541,03-21-2024,2024,Arizona,Long Beach State,TRUE,FALSE,2,15,,100.00%,0.33,3.2,-0.7,3.22,4.2,-0.9,0.8,0.87,-1,-3.4,4.1,7.5,-3.5,10.2,13.7,0.3,15.8,-1.1,6.3,0.4
2427536,03-21-2024,2024,North Carolina,Wagner,TRUE,FALSE,1,16,,100.00%,0.12,1.7,1.9,4.09,5.7,-1.1,4.4,0.57,1.2,-1.2,4.6,5.9,8.1,18,9.7,-0.2,27.8,1.9,3.2,-0.9
2427533,03-21-2024,2024,Illinois,Morehead State,TRUE,FALSE,3,14,,100.00%,-0.05,-2.1,-0.9,0.59,0.2,4.3,4,1.32,-0.5,2.4,1.9,-0.4,11,8.9,-2.1,-1.7,0,4.7,-1.1,-0.6
