GameID,Date,Year,Home_team,Away_Team,Home_winner?,Away_Winner?,Ratio A/T,APG,BKPG,RPG DEF,FG%,OPP FG%,FT%,RPG OFF,PFPG,OPP RPG,RPG,REB MAR,OPP PPG,PPG,SCR MAR,STPG,Pct (W/L),3FG% OPP,3FG%,TO MAR
13d9674b-ca71-4d68-989d-3debd0254e84,11-10-2017,2017,Baylor,Central Ark.,TRUE,FALSE,-0.06,-0.9,-0.6,0.26,1.6,-3.2,-0.1,1.5,-1.8,-7.6,1.7,9.5,-9.3,-4.9,4.4,-1.3,4.5,-2.3,0.1,-2.1
cc61e852-a300-479e-9b1c-01c8c347a194,11-10-2017,2017,Tulsa,Lamar,FALSE,TRUE,-0.06,-1,-0.1,1.99,0.5,-2.7,6.8,-1.75,-3.8,-0.7,0.3,1,1.3,-2.3,-3.6,-4,3.7,0.1,0.5,-0.4
e3163426-d26c-4c42-9ab8-4e168cb7c6f9,11-10-2017,2017,Virginia Tech,Detroit Mercy,TRUE,FALSE,0.37,2.7,-0.6,0.93,6.4,-5.2,-4.6,-3.08,-4.4,-4.2,-2.1,2,-13.5,1.2,14.7,-0.8,38.6,-5,4.3,-1
1889b466-b38b-4421-8e61-712ffae45f54,11-10-2017,2017,Sacred Heart,Holy Cross,FALSE,TRUE,-0.23,-0.7,-1.1,5.25,-2.4,0.9,-2.7,6.32,1.1,-2.2,11.6,13.8,4.5,5.1,0.6,-1.4,-6.4,-1.6,-2.7,-1
4e182efb-c4db-4351-9b07-a3014394d76e,11-10-2017,2017,Mississippi St.,Alabama St.,TRUE,FALSE,0.3,3.2,1.2,1.53,5.6,-3.5,4.5,-1.95,-4.3,-5.6,-0.4,5.3,-10.8,4.7,15.5,1.1,41.8,-4.5,-0.9,-0.7
29de7a77-282b-4d36-a4e9-f2c159c0a0cc,11-10-2017,2017,Alabama,Memphis,TRUE,FALSE,-0.06,-0.3,1.5,2.98,0.9,-1.6,-2,-1.5,1.6,2.8,1.5,-1.3,-0.6,1.5,2.1,0.4,-6.2,-4.2,0.9,2
72233df6-fd2a-4c87-98e8-d11a94482647,11-10-2017,2017,Seton Hall,Fairleigh Dickinson,TRUE,FALSE,0.24,2.1,0.2,2.55,1.7,0,-2.8,1.3,0,-3.1,3.9,7,-1.9,4.8,6.8,-0.9,22.8,-1.7,2.3,2.4
d6aab042-28b5-4666-97c1-8f685c11a522,11-10-2017,2017,Col. of Charleston,Siena,TRUE,FALSE,0.41,0.3,0.2,0.04,4,-1.5,7.6,-2.65,-3.4,-0.4,-2.6,-2.2,-6.6,6.9,13.5,0.4,51.5,-0.5,-0.7,-1
5bb847ce-1eb4-4077-9b45-f1546e59245d,11-10-2017,2017,Old Dominion,Towson,TRUE,FALSE,0.51,3.2,0,0.47,-2,-2.3,0.5,-0.72,-3.9,1.2,-0.2,-1.4,-8.4,-3.1,5.3,1,21.8,-0.2,-0.4,-0.4
930b435e-d865-457f-8140-44f09f5cb672,11-10-2017,2017,Richmond,Delaware,FALSE,TRUE,0.21,3.5,0.1,-2.8,0.4,3.4,6.4,-1.68,-0.6,0.1,-4.4,-4.5,2,1,-1.1,2.6,-4.9,0.2,0.5,-0.5
3606d46a-ea1b-4249-bf74-bcc753edb649,11-10-2017,2017,Winthrop,Southern Ill.,FALSE,TRUE,-0.04,0.6,1,3.01,1.4,-2,2.6,0.61,-0.4,0.3,3.6,3.3,2.5,9.6,7.1,-0.7,0.7,0,1.8,-4
acef797a-3142-4341-8379-6afaad91215f,11-10-2017,2017,Binghamton,Morgan State,TRUE,FALSE,0.1,-0.1,1.4,1.42,2.5,0,-8.5,-4.12,-2.8,-0.2,-2.7,-2.5,-2.7,-1.7,0.9,-1.4,-5.1,3.3,1.3,0.4
b7ccbb65-744a-4a6d-8765-b8523b98b38c,11-10-2017,2017,Albany (NY),Iona,TRUE,FALSE,-0.28,-3.2,-0.2,0.32,-0.4,-1.5,1.6,3.22,-0.8,-7.6,3.5,11.1,-8.3,-5.2,3.1,-2,10,-2.9,-1.6,-1.7
6859cf74-5efa-40ab-8ad0-3a994ea8dd57,11-10-2017,2017,Dayton,Ball State,TRUE,FALSE,0.08,1.5,-1,-4.33,2.9,4.5,2.6,-2.26,-0.6,-4.7,-6.6,-2,-0.3,-2.9,-2.6,-0.1,-14.2,2.2,0,1.4
4207f7af-a43a-4b3e-bff4-56a2eb72199e,11-10-2017,2017,Virginia,UNC Greensboro,TRUE,FALSE,0.57,-0.4,-0.2,-1.23,1.4,-2.6,5.6,-3.65,-4.5,0.2,-4.8,-5,-8.5,-6.1,2.4,-0.8,14.1,-0.5,3,2.3
a00364c5-656f-4365-8c76-cc41411cf899,11-10-2017,2017,Fordham,Miami (OH),FALSE,TRUE,0.09,0.2,-0.2,-4.16,-3,2.4,2.2,-3.55,-1,4,-7.7,-11.7,-0.4,-9.7,-9.3,1.5,-18.1,2.3,-5.5,3.7
4933cb0f-be6e-49c9-9c07-7c91bff8d635,11-10-2017,2017,Clemson,Western Caro.,TRUE,FALSE,0.22,-0.1,1.9,4.1,4.5,-5.4,7.2,-2.65,-1.5,-3.7,1.5,5.2,-9.7,5.4,15.1,-2.2,30.8,-0.5,3.3,-1
